,X,Site_Name,Common_Name,Phenophase_Name,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value
7512,78174,Site E,beach plum,Breaking leaf buds,5/11/2018,131,0,39,0
7513,78175,Site E,beach plum,Breaking leaf buds,5/21/2018,141,0,39,0
7514,78176,Site E,beach plum,Breaking leaf buds,5/29/2018,149,0,39,0
7515,78177,Site E,beach plum,Breaking leaf buds,5/25/2018,145,0,39,0
7516,78178,Site E,beach plum,Breaking leaf buds,6/5/2018,156,1,39,3
7517,78179,Site E,beach plum,Breaking leaf buds,6/8/2018,159,1,39,3
7518,78180,Site E,beach plum,Breaking leaf buds,6/14/2018,165,1,39,3
7519,78181,Site E,beach plum,Breaking leaf buds,6/18/2018,169,0,39,0
7520,78182,Site E,beach plum,Breaking leaf buds,6/21/2018,172,1,39,3
7521,78183,Site E,beach plum,Breaking leaf buds,6/25/2018,176,1,39,3
7522,78184,Site E,beach plum,Breaking leaf buds,6/29/2018,180,1,39,2
7523,78185,Site E,beach plum,Breaking leaf buds,7/2/2018,183,0,39,0
7524,78186,Site E,beach plum,Breaking leaf buds,7/6/2018,187,0,39,0
7525,78187,Site E,beach plum,Breaking leaf buds,7/9/2018,190,0,39,0
7526,78188,Site E,beach plum,Breaking leaf buds,7/13/2018,194,0,39,0
7527,78189,Site E,beach plum,Breaking leaf buds,7/16/2018,197,0,39,0
7528,78190,Site E,beach plum,Breaking leaf buds,7/20/2018,201,0,39,0
7529,78191,Site E,beach plum,Breaking leaf buds,7/23/2018,204,0,39,0
7530,78192,Site E,beach plum,Breaking leaf buds,7/27/2018,208,0,39,0
7531,78193,Site E,beach plum,Breaking leaf buds,8/1/2018,213,0,39,0
7532,78194,Site E,beach plum,Breaking leaf buds,8/6/2018,218,0,39,0
7533,78195,Site E,beach plum,Breaking leaf buds,8/10/2018,222,0,39,0
7534,78196,Site E,beach plum,Breaking leaf buds,8/13/2018,225,0,39,0
7535,78197,Site E,beach plum,Breaking leaf buds,4/16/2015,106,0,39,0
7536,78198,Site E,beach plum,Breaking leaf buds,4/9/2015,99,0,39,0
7537,78199,Site E,beach plum,Breaking leaf buds,4/14/2015,104,0,39,0
7538,78200,Site E,beach plum,Breaking leaf buds,4/21/2015,111,0,39,0
7539,78201,Site E,beach plum,Breaking leaf buds,4/28/2015,118,0,39,0
7540,78202,Site E,beach plum,Breaking leaf buds,4/30/2015,120,0,39,0
7541,78203,Site E,beach plum,Breaking leaf buds,5/5/2015,125,0,39,0
7542,78204,Site E,beach plum,Breaking leaf buds,5/12/2015,132,0,39,0
7543,78205,Site E,beach plum,Breaking leaf buds,5/19/2015,139,0,39,0
7544,78206,Site E,beach plum,Breaking leaf buds,4/23/2015,113,0,39,0
7545,78207,Site E,beach plum,Breaking leaf buds,5/7/2015,127,0,39,0
7546,78208,Site E,beach plum,Breaking leaf buds,5/26/2015,146,1,39,3
7547,78209,Site E,beach plum,Breaking leaf buds,5/28/2015,148,1,39,3
7548,78210,Site E,beach plum,Breaking leaf buds,6/2/2015,153,1,39,2
7549,78211,Site E,beach plum,Breaking leaf buds,6/4/2015,155,1,39,2
7550,78212,Site E,beach plum,Breaking leaf buds,6/9/2015,160,1,39,2
7551,78213,Site E,beach plum,Breaking leaf buds,6/11/2015,162,1,39,1
7552,78214,Site E,beach plum,Breaking leaf buds,6/16/2015,167,1,39,1
7553,78215,Site E,beach plum,Breaking leaf buds,6/18/2015,169,1,39,2
7554,78216,Site E,beach plum,Breaking leaf buds,6/23/2015,174,1,39,3
7555,78217,Site E,beach plum,Breaking leaf buds,7/2/2015,183,1,39,2
7556,78218,Site E,beach plum,Breaking leaf buds,7/7/2015,188,0,39,0
7557,78219,Site E,beach plum,Breaking leaf buds,7/9/2015,190,0,39,0
7558,78220,Site E,beach plum,Breaking leaf buds,7/16/2015,197,0,39,0
7559,78221,Site E,beach plum,Breaking leaf buds,7/28/2015,209,1,39,1
7560,78222,Site E,beach plum,Breaking leaf buds,7/23/2015,204,0,39,0
7561,78223,Site E,beach plum,Breaking leaf buds,8/4/2015,216,0,39,0
7562,78224,Site E,beach plum,Breaking leaf buds,8/6/2015,218,0,39,0
7563,78225,Site E,beach plum,Breaking leaf buds,8/20/2015,232,0,39,0
7564,78226,Site E,beach plum,Breaking leaf buds,9/1/2015,244,0,39,0
7565,78227,Site E,beach plum,Breaking leaf buds,8/25/2015,237,0,39,0
7566,78228,Site E,beach plum,Breaking leaf buds,8/27/2015,239,0,39,0
7567,78229,Site E,beach plum,Breaking leaf buds,9/3/2015,246,0,39,0
7568,78230,Site E,beach plum,Breaking leaf buds,9/10/2015,253,0,39,0
7569,78231,Site E,beach plum,Breaking leaf buds,9/8/2015,251,0,39,0
7570,78232,Site E,beach plum,Breaking leaf buds,9/15/2015,258,0,39,0
7571,78233,Site E,beach plum,Breaking leaf buds,9/24/2015,267,0,39,0
7572,78234,Site E,beach plum,Breaking leaf buds,9/29/2015,272,0,39,0
7573,78235,Site E,beach plum,Breaking leaf buds,9/22/2015,265,0,39,0
7574,78236,Site E,beach plum,Breaking leaf buds,6/25/2015,176,1,39,2
7575,78237,Site E,beach plum,Breaking leaf buds,10/6/2015,279,0,39,0
7576,78238,Site E,beach plum,Breaking leaf buds,10/8/2015,281,0,39,0
7577,78239,Site E,beach plum,Breaking leaf buds,10/13/2015,286,0,39,0
7578,78240,Site E,beach plum,Breaking leaf buds,10/15/2015,288,0,39,0
7579,78241,Site E,beach plum,Breaking leaf buds,10/20/2015,293,0,39,0
7580,78242,Site E,beach plum,Breaking leaf buds,10/22/2015,295,0,39,0
7581,78243,Site E,beach plum,Breaking leaf buds,10/27/2015,300,0,39,0
7582,78244,Site E,beach plum,Breaking leaf buds,5/17/2016,138,0,39,0
7583,78245,Site E,beach plum,Breaking leaf buds,5/23/2016,144,0,39,0
7584,78246,Site E,beach plum,Breaking leaf buds,5/6/2016,127,0,39,0
7585,78247,Site E,beach plum,Breaking leaf buds,4/27/2016,118,0,39,0
7586,78248,Site E,beach plum,Breaking leaf buds,4/11/2016,102,0,39,0
7587,78249,Site E,beach plum,Breaking leaf buds,4/22/2016,113,0,39,0
7588,78250,Site E,beach plum,Breaking leaf buds,4/29/2016,120,0,39,0
7589,78251,Site E,beach plum,Breaking leaf buds,5/13/2016,134,0,39,0
7590,78252,Site E,beach plum,Breaking leaf buds,5/31/2016,152,1,39,2
7591,78253,Site E,beach plum,Breaking leaf buds,6/9/2016,161,1,39,3
7592,78254,Site E,beach plum,Breaking leaf buds,6/7/2016,159,1,39,3
7593,78255,Site E,beach plum,Breaking leaf buds,5/26/2016,147,0,39,0
7594,78256,Site E,beach plum,Breaking leaf buds,6/14/2016,166,1,39,2
7595,78257,Site E,beach plum,Breaking leaf buds,6/3/2016,155,1,39,3
7596,78258,Site E,beach plum,Breaking leaf buds,5/20/2016,141,1,39,2
7597,78259,Site E,beach plum,Breaking leaf buds,6/16/2016,168,0,39,0
7598,78260,Site E,beach plum,Breaking leaf buds,4/21/2016,112,0,39,0
7599,78261,Site E,beach plum,Breaking leaf buds,3/20/2016,80,0,39,0
7600,78262,Site E,beach plum,Breaking leaf buds,6/21/2016,173,0,39,0
7601,78263,Site E,beach plum,Breaking leaf buds,6/28/2016,180,0,39,0
7602,78264,Site E,beach plum,Breaking leaf buds,6/30/2016,182,0,39,0
7603,78265,Site E,beach plum,Breaking leaf buds,7/5/2016,187,0,39,0
7604,78266,Site E,beach plum,Breaking leaf buds,7/7/2016,189,0,39,0
7605,78267,Site E,beach plum,Breaking leaf buds,7/12/2016,194,0,39,0
7606,78268,Site E,beach plum,Breaking leaf buds,7/13/2016,195,0,39,0
7607,78269,Site E,beach plum,Breaking leaf buds,7/19/2016,201,0,39,0
7608,78270,Site E,beach plum,Breaking leaf buds,7/21/2016,203,0,39,0
7609,78271,Site E,beach plum,Breaking leaf buds,7/26/2016,208,0,39,0
7610,78272,Site E,beach plum,Breaking leaf buds,7/28/2016,210,0,39,0
7611,78273,Site E,beach plum,Breaking leaf buds,8/4/2016,217,0,39,0
7612,78274,Site E,beach plum,Breaking leaf buds,8/9/2016,222,0,39,0
7613,78275,Site E,beach plum,Breaking leaf buds,8/16/2016,229,0,39,0
7614,78276,Site E,beach plum,Breaking leaf buds,8/18/2016,231,0,39,0
7615,78277,Site E,beach plum,Breaking leaf buds,8/25/2016,238,0,39,0
7616,78278,Site E,beach plum,Breaking leaf buds,8/30/2016,243,0,39,0
7617,78279,Site E,beach plum,Breaking leaf buds,4/2/2015,92,0,39,0
7618,78280,Site E,beach plum,Breaking leaf buds,9/8/2016,252,0,39,0
7619,78281,Site E,beach plum,Breaking leaf buds,9/13/2016,257,0,39,0
7620,78282,Site E,beach plum,Breaking leaf buds,9/21/2016,265,0,39,0
7621,78283,Site E,beach plum,Breaking leaf buds,10/5/2016,279,0,39,0
7622,78284,Site E,beach plum,Breaking leaf buds,10/20/2016,294,0,39,0
7623,78285,Site E,beach plum,Breaking leaf buds,8/13/2015,225,0,39,0
7624,78286,Site E,beach plum,Breaking leaf buds,3/22/2017,81,0,39,0
7625,78287,Site E,beach plum,Breaking leaf buds,4/3/2017,93,0,39,0
7626,78288,Site E,beach plum,Breaking leaf buds,4/11/2017,101,0,39,0
7627,78289,Site E,beach plum,Breaking leaf buds,4/18/2017,108,0,39,0
7628,78290,Site E,beach plum,Breaking leaf buds,4/27/2017,117,0,39,0
7629,78291,Site E,beach plum,Breaking leaf buds,5/3/2017,123,0,39,0
7630,78292,Site E,beach plum,Breaking leaf buds,5/9/2017,129,0,39,0
7631,78293,Site E,beach plum,Breaking leaf buds,5/16/2017,136,0,39,0
7632,78294,Site E,beach plum,Breaking leaf buds,5/22/2017,142,0,39,0
7633,78295,Site E,beach plum,Breaking leaf buds,5/30/2017,150,1,39,2
7634,78296,Site E,beach plum,Breaking leaf buds,6/7/2017,158,1,39,3
7635,78297,Site E,beach plum,Breaking leaf buds,6/13/2017,164,1,39,2
7636,78298,Site E,beach plum,Breaking leaf buds,6/16/2017,167,1,39,2
7637,78299,Site E,beach plum,Breaking leaf buds,5/14/2015,134,0,39,0
7638,78300,Site E,beach plum,Breaking leaf buds,6/23/2017,174,1,39,1
7639,78301,Site E,beach plum,Breaking leaf buds,6/27/2017,178,1,39,2
7640,78302,Site E,beach plum,Breaking leaf buds,6/29/2017,180,1,39,2
7641,78303,Site E,beach plum,Breaking leaf buds,7/6/2017,187,0,39,0
7642,78304,Site E,beach plum,Breaking leaf buds,7/10/2017,191,0,39,0
7643,78305,Site E,beach plum,Breaking leaf buds,7/14/2017,195,0,39,0
7644,78306,Site E,beach plum,Breaking leaf buds,7/18/2017,199,0,39,0
7645,78307,Site E,beach plum,Breaking leaf buds,7/21/2017,202,0,39,0
7646,78308,Site E,beach plum,Breaking leaf buds,7/26/2017,207,0,39,0
7647,78309,Site E,beach plum,Breaking leaf buds,7/31/2017,212,0,39,0
7648,78310,Site E,beach plum,Breaking leaf buds,8/4/2017,216,0,39,0
7649,78311,Site E,beach plum,Breaking leaf buds,8/8/2017,220,1,39,1
7650,78312,Site E,beach plum,Breaking leaf buds,8/11/2017,223,0,39,0
7651,78313,Site E,beach plum,Breaking leaf buds,8/14/2017,226,1,39,1
7652,78314,Site E,beach plum,Breaking leaf buds,8/22/2017,234,0,39,0
7653,78315,Site E,beach plum,Breaking leaf buds,8/25/2017,237,0,39,0
7654,78316,Site E,beach plum,Breaking leaf buds,8/18/2017,230,0,39,0
7655,78317,Site E,beach plum,Breaking leaf buds,11/15/2017,319,0,39,0
7656,78318,Site E,beach plum,Breaking leaf buds,9/18/2017,261,0,39,0
7657,78319,Site E,beach plum,Breaking leaf buds,9/12/2017,255,0,39,0
7658,78320,Site E,beach plum,Breaking leaf buds,3/13/2018,72,0,39,0
7659,78321,Site E,beach plum,Breaking leaf buds,10/23/2017,296,0,39,0
7660,78322,Site E,beach plum,Breaking leaf buds,5/16/2018,136,0,39,0
7661,78323,Site E,beach plum,Breaking leaf buds,3/20/2018,79,0,39,0
7662,78324,Site E,beach plum,Breaking leaf buds,4/24/2018,114,0,39,0
7663,78325,Site E,beach plum,Breaking leaf buds,4/9/2018,99,0,39,0
7664,78326,Site E,beach plum,Breaking leaf buds,5/2/2018,122,0,39,0
7665,78327,Site E,beach plum,Breaking leaf buds,5/8/2018,128,0,39,0
7666,78328,Site E,beach plum,Breaking leaf buds,5/11/2018,131,0,39,0
7667,78329,Site E,beach plum,Breaking leaf buds,5/21/2018,141,0,39,0
7668,78330,Site E,beach plum,Breaking leaf buds,5/29/2018,149,1,39,2
7669,78331,Site E,beach plum,Breaking leaf buds,5/25/2018,145,0,39,0
7670,78332,Site E,beach plum,Breaking leaf buds,6/5/2018,156,1,39,4
7671,78333,Site E,beach plum,Breaking leaf buds,6/8/2018,159,1,39,6
7672,78334,Site E,beach plum,Breaking leaf buds,6/14/2018,165,1,39,3
7673,78335,Site E,beach plum,Breaking leaf buds,6/18/2018,169,0,39,0
7674,78336,Site E,beach plum,Breaking leaf buds,6/21/2018,172,1,39,3
7675,78337,Site E,beach plum,Breaking leaf buds,6/25/2018,176,1,39,4
7676,78338,Site E,beach plum,Breaking leaf buds,6/29/2018,180,1,39,3
7677,78339,Site E,beach plum,Breaking leaf buds,7/2/2018,183,0,39,0
7678,78340,Site E,beach plum,Breaking leaf buds,7/6/2018,187,0,39,0
7679,78341,Site E,beach plum,Breaking leaf buds,7/9/2018,190,0,39,0
7680,78342,Site E,beach plum,Breaking leaf buds,7/13/2018,194,0,39,0
7681,78343,Site E,beach plum,Breaking leaf buds,7/16/2018,197,0,39,0
7682,78344,Site E,beach plum,Breaking leaf buds,7/20/2018,201,0,39,0
7683,78345,Site E,beach plum,Breaking leaf buds,7/23/2018,204,0,39,0
7684,78346,Site E,beach plum,Breaking leaf buds,7/27/2018,208,0,39,0
7685,78347,Site E,beach plum,Breaking leaf buds,8/1/2018,213,0,39,0
7686,78348,Site E,beach plum,Breaking leaf buds,8/6/2018,218,0,39,0
7687,78349,Site E,beach plum,Breaking leaf buds,8/10/2018,222,0,39,0
7688,78350,Site E,beach plum,Breaking leaf buds,8/13/2018,225,0,39,0
7689,78351,Site E,beach plum,Breaking leaf buds,4/16/2015,106,0,39,0
7690,78352,Site E,beach plum,Breaking leaf buds,4/9/2015,99,0,39,0
7691,78353,Site E,beach plum,Breaking leaf buds,4/14/2015,104,0,39,0
7692,78354,Site E,beach plum,Breaking leaf buds,4/21/2015,111,0,39,0
7693,78355,Site E,beach plum,Breaking leaf buds,4/28/2015,118,0,39,0
7694,78356,Site E,beach plum,Breaking leaf buds,4/30/2015,120,0,39,0
7695,78357,Site E,beach plum,Breaking leaf buds,5/5/2015,125,0,39,0
7696,78358,Site E,beach plum,Breaking leaf buds,5/12/2015,132,0,39,0
7697,78359,Site E,beach plum,Breaking leaf buds,5/19/2015,139,0,39,0
7698,78360,Site E,beach plum,Breaking leaf buds,4/23/2015,113,0,39,0
7699,78361,Site E,beach plum,Breaking leaf buds,5/7/2015,127,0,39,0
7700,78362,Site E,beach plum,Breaking leaf buds,5/26/2015,146,1,39,4
7701,78363,Site E,beach plum,Breaking leaf buds,5/28/2015,148,1,39,4
7702,78364,Site E,beach plum,Breaking leaf buds,6/2/2015,153,1,39,2
7703,78365,Site E,beach plum,Breaking leaf buds,6/4/2015,155,1,39,2
7704,78366,Site E,beach plum,Breaking leaf buds,6/9/2015,160,1,39,3
7705,78367,Site E,beach plum,Breaking leaf buds,6/11/2015,162,1,39,0
7706,78368,Site E,beach plum,Breaking leaf buds,6/16/2015,167,0,39,0
7707,78369,Site E,beach plum,Breaking leaf buds,6/18/2015,169,1,39,3
7708,78370,Site E,beach plum,Breaking leaf buds,6/23/2015,174,1,39,3
7709,78371,Site E,beach plum,Breaking leaf buds,7/2/2015,183,1,39,3
7710,78372,Site E,beach plum,Breaking leaf buds,7/7/2015,188,1,39,2
7711,78373,Site E,beach plum,Breaking leaf buds,7/9/2015,190,1,39,2
7712,78374,Site E,beach plum,Breaking leaf buds,7/16/2015,197,0,39,0
7713,78375,Site E,beach plum,Breaking leaf buds,7/28/2015,209,0,39,0
7714,78376,Site E,beach plum,Breaking leaf buds,7/23/2015,204,1,39,1
7715,78377,Site E,beach plum,Breaking leaf buds,8/4/2015,216,0,39,0
7716,78378,Site E,beach plum,Breaking leaf buds,8/6/2015,218,0,39,0
7717,78379,Site E,beach plum,Breaking leaf buds,8/20/2015,232,0,39,0
7718,78380,Site E,beach plum,Breaking leaf buds,9/1/2015,244,0,39,0
7719,78381,Site E,beach plum,Breaking leaf buds,8/25/2015,237,0,39,0
7720,78382,Site E,beach plum,Breaking leaf buds,8/27/2015,239,0,39,0
7721,78383,Site E,beach plum,Breaking leaf buds,9/3/2015,246,0,39,0
7722,78384,Site E,beach plum,Breaking leaf buds,9/10/2015,253,0,39,0
7723,78385,Site E,beach plum,Breaking leaf buds,9/8/2015,251,0,39,0
7724,78386,Site E,beach plum,Breaking leaf buds,9/15/2015,258,0,39,0
7725,78387,Site E,beach plum,Breaking leaf buds,9/24/2015,267,0,39,0
7726,78388,Site E,beach plum,Breaking leaf buds,9/29/2015,272,0,39,0
7727,78389,Site E,beach plum,Breaking leaf buds,9/22/2015,265,0,39,0
7728,78390,Site E,beach plum,Breaking leaf buds,6/25/2015,176,1,39,3
7729,78391,Site E,beach plum,Breaking leaf buds,10/6/2015,279,1,39,0
7730,78392,Site E,beach plum,Breaking leaf buds,10/8/2015,281,0,39,0
7731,78393,Site E,beach plum,Breaking leaf buds,10/13/2015,286,0,39,0
7732,78394,Site E,beach plum,Breaking leaf buds,10/15/2015,288,0,39,0
7733,78395,Site E,beach plum,Breaking leaf buds,10/20/2015,293,0,39,0
7734,78396,Site E,beach plum,Breaking leaf buds,10/22/2015,295,0,39,0
7735,78397,Site E,beach plum,Breaking leaf buds,10/27/2015,300,0,39,0
7736,78398,Site E,beach plum,Breaking leaf buds,5/17/2016,138,0,39,0
7737,78399,Site E,beach plum,Breaking leaf buds,5/23/2016,144,0,39,0
7738,78400,Site E,beach plum,Breaking leaf buds,5/6/2016,127,0,39,0
7739,78401,Site E,beach plum,Breaking leaf buds,4/27/2016,118,0,39,0
7740,78402,Site E,beach plum,Breaking leaf buds,4/11/2016,102,0,39,0
7741,78403,Site E,beach plum,Breaking leaf buds,4/22/2016,113,0,39,0
